"","yhat","yact"
"1",6.82644194012767,7.57558465155779
"2",6.82644194012767,6.49978704065585
"3",6.82644194012767,8.08948247436075
"4",6.82644194012767,6.81892406527552
"5",6.82644194012767,6.85646198459459
"6",6.82644194012767,8.68946441235669
"7",6.82644194012767,6.10924758276437
"8",6.82644194012767,7.48436864328613
"9",6.82644194012767,7.71423114484909
"10",6.82644194012767,6.16067975639664
"11",6.82644194012767,5.19295685089021
"12",6.82644194012767,6.85646198459459
"13",6.82644194012767,7.42431443459589
"14",6.82644194012767,8.37562962709445
"15",6.82644194012767,7.65207074611648
"16",6.82644194012767,9.22670572606245
"17",6.82644194012767,5.50803789753146
"18",6.82644194012767,6.84587987526405
"19",6.82644194012767,7.8898337513943
"20",6.82644194012767,7.09837563859079
"21",6.82334216735495,6.44041476715642
"22",6.13307284526049,7.23705902612474
"23",6.13307284526047,7.40245152081824
"24",6.13307284526047,5.65248918026865
"25",6.13307284526047,6.67519250575144
"26",6.12211052708115,4.49980967033027
"27",6.13307284525036,6.80239476332431
"28",6.13307284526047,5.99146454710798
"29",6.13307284526047,6.80239476332431
"30",6.24815879753887,4.24849524204936
"31",6.13307284526047,6.13122648948314
"32",6.12936322329167,6.49223983502047
"33",6.13307284526047,5.81909332116819
"34",6.13307284526047,4.9416424226093
"35",6.13307284526047,4.24849524204936
"36",6.13307284526047,6.88755257166462
"37",6.13307284526047,5.79909265446053
"38",6.13520520518026,6.1527326947041
"39",6.13307284526047,6.52941883826223
"40",6.13307284526126,7.04253589101084
"41",6.133072842611,6.84587987526405
"42",6.13307284526047,8.58858318750291
"43",6.13307284526047,8.1605182474775
"44",6.13313611195467,5.84354441703136
"45",6.13307284526047,7.85166117788927
"46",6.13306870377954,5.57972982598622
"47",6.13307284526047,6.90274273715859
"48",6.11819094701118,5.72031177660741
"49",6.13307284526047,6.60665018619822
"50",6.13307284526047,9.27331517113757
"51",6.13307284526047,6.58617165485467
"52",6.13307284526047,5.665561261836
"53",6.13307284526047,5.31484666849761
"54",6.32436885225405,6.36302810354046
"55",6.13307120950086,6.7093043402583
"56",6.13307284526047,7.08170858610557
"57",5.69347181524997,4.76339419120421
"58",6.13307284526047,4.00733318523247
"59",6.13307284526047,8.24800570160062
"60",6.13307284526047,9.18194089745448
"61",6.13307284526047,5.61677109766657
"62",4.99956565028178,5.24702407216049
"63",5.27770324650658,4.78749174278205
"64",5.35592453370232,4.00733318523247
"65",4.99956565028178,5.95324333428778
"66",5.16169153013561,4.55387689160054
"67",4.06235223502832,5.59842195899838
"68",4.650174611476,5.13579843705026
"69",4.99956565028178,4.86753445045558
"70",4.99956565028178,4.86753445045558
"71",4.35307401510181,4.60517018598809
"72",4.06784629964106,4.24849524204936
"73",4.21633331436494,4.97673374242057
"74",4.72845459998331,4.86753445045558
"75",5.59077543947791,4.70048036579242
"76",5.10871392206317,5.85793315448346
"77",4.15292570398143,3.91202300542815
"78",4.5485440727371,5.79909265446053
"79",5.00405760551474,4.24849524204936
"80",4.99956565028178,5.78382518232974
"81",4.99956565028178,5.48063892334199
"82",5.42796494425197,5.19295685089021
"83",5.75016798321417,5.07517381523383
"84",5.75016798321417,5.24702407216049
"85",5.75016798321417,5.7037824746562
"86",5.63789606958968,5.19295685089021
"87",5.75016798321417,5.89532068655416
"88",5.75016798321417,5.48063892334199
"89",5.75016798321395,5.4380793089232
"90",5.75016798321417,5.19295685089021
"91",5.75016798321417,5.52146091786225
"92",5.75016798321417,5.29831736654804
"93",5.75016798321417,4.60517018598809
"94",5.75016798321417,5.45958551414416
"95",5.75016798321417,7.09007683577609
"96",5.74182000899811,4.9416424226093
"97",5.75016798321417,6.99393297522319
"98",5.75016798321417,6.95654544315157
"99",5.75016798321417,6.7093043402583
"100",5.75016798321417,6.46146817635372
"101",5.75016798321417,7.09285076265605
"102",5.75016798321417,6.85294704248749
"103",5.75024859444258,6.30991827822652
"104",5.75016798321417,5.50125821054473
"105",5.75016759472107,5.96614673912369
"106",5.74724254169622,6.96129604591017
"107",5.75016798321417,6.46146817635372
"108",5.61584204227887,6.84587987526405
"109",5.58796000814031,5.63478960316925
"110",5.61584204227887,4.24849524204936
"111",5.61584204227887,6.17378610390194
"112",5.61584204227887,4.78749174278205
"113",5.61584204227887,4.49980967033027
"114",5.61584204227887,6.58617165485467
"115",5.61584204227887,5.19295685089021
"116",5.61584204227887,8.07713663853845
"117",5.61584204227887,7.75362354655975
"118",5.61584204227887,4.24849524204936
"119",5.61290770225024,5.63478960316925
"120",5.61584204227887,5.50125821054473
"121",5.58682769494139,6.27287700654617
"122",5.61584204227887,7.86901937649902
"123",5.61584204227887,7.52833176670725
"124",5.61584204227887,7.29301767977278
"125",5.61584204227887,6.46146817635372
"126",5.61584204227887,7.75362354655975
"127",5.61584204227887,5.92692602597041
"128",5.61584204227887,6.8097748706223
"129",5.61508134169079,6.2938812793167
"130",5.61584204227887,7.79152281915073
"131",5.61584204227887,5.82526237219391
"132",5.61584204227887,7.83942711289459
"133",5.61584204227887,6.64639051484773
"134",5.61584204227887,6.86693328446188
"135",5.61584204227887,2.99573227355399
"136",5.61584204227887,5.13579843705026
"137",5.61598979390884,6.09807428216624
"138",5.23677895363048,4.44265125649032
"139",5.02292096838264,4.98531748611197
"140",5.02292096838264,9.73595608121481
"141",5.02292096838264,2.99573227355399
"142",5.02292096838264,4.63796000880786
"143",5.02292096838264,4.76339419120421
"144",5.0067950243413,4.63796000880786
"145",5.02292096838264,5.59842195899838
"146",5.02292096838264,4.95934199970871
